,geoid
0,34003003500
1,34003011200
2,34003015300
3,34003015400
4,34003018100
5,34003018200
6,34003019102
7,34003019203
8,34003019204
9,34003021100
10,34003021200
11,34003021300
12,34003021400
13,34003021500
14,34003021600
15,34003023100
16,34003023200
17,34003023402
18,34003023500
19,34003023501
20,34003023502
21,34003023600
22,34003023601
23,34003023602
24,34003029100
25,34003030100
26,34003030200
27,34003030300
28,34003030400
29,34003031200
30,34003036200
31,34003038100
32,34003046100
33,34003046300
34,34003054200
35,34003057101
36,34003057200
37,34013000100
38,34013000200
39,34013000300
40,34013000400
41,34013000500
42,34013000600
43,34013000700
44,34013000800
45,34013000900
46,34013001000
47,34013001100
48,34013001300
49,34013001400
50,34013001500
51,34013001600
52,34013001700
53,34013001800
54,34013001900
55,34013002000
56,34013002100
57,34013002201
58,34013002202
59,34013002300
60,34013002400
61,34013002500
62,34013002600
63,34013002700
64,34013002800
65,34013002900
66,34013003000
67,34013003100
68,34013003400
69,34013003500
70,34013003700
71,34013003800
72,34013003900
73,34013004100
74,34013004200
75,34013004300
76,34013004400
77,34013004500
78,34013004600
79,34013004700
80,34013004801
81,34013004802
82,34013004900
83,34013005000
84,34013005100
85,34013005200
86,34013005300
87,34013005400
88,34013005700
89,34013005800
90,34013006200
91,34013006400
92,34013006600
93,34013006700
94,34013006800
95,34013006900
96,34013007000
97,34013007100
98,34013007200
99,34013007300
100,34013007400
101,34013007501
102,34013007502
103,34013007600
104,34013007700
105,34013007800
106,34013007900
107,34013008000
108,34013008100
109,34013008200
110,34013008500
111,34013008700
112,34013008800
113,34013008900
114,34013009000
115,34013009100
116,34013009200
117,34013009300
118,34013009400
119,34013009500
120,34013009600
121,34013009700
122,34013009900
123,34013010000
124,34013010100
125,34013010200
126,34013010300
127,34013010400
128,34013010500
129,34013010600
130,34013010700
131,34013010800
132,34013010900
133,34013011100
134,34013011200
135,34013011300
136,34013011400
137,34013011500
138,34013011600
139,34013011700
140,34013011800
141,34013011900
142,34013012000
143,34013012100
144,34013012200
145,34013012300
146,34013012400
147,34013012500
148,34013012600
149,34013012700
150,34013012800
151,34013012900
152,34013013000
153,34013013100
154,34013013200
155,34013013300
156,34013013700
157,34013014300
158,34013014400
159,34013014500
160,34013014700
161,34013015300
162,34013015400
163,34013015600
164,34013015700
165,34013015800
166,34013015900
167,34013016700
168,34013017100
169,34013017600
170,34013017700
171,34013017800
172,34013018100
173,34013018200
174,34013018300
175,34013018400
176,34013018600
177,34013018700
178,34013018800
179,34013018900
180,34013022700
181,34013022800
182,34013022900
183,34013023000
184,34013023100
185,34013023200
186,34013980100
187,34013980200
188,34017000100
189,34017000200
190,34017000300
191,34017000400
192,34017000500
193,34017000600
194,34017000700
195,34017000800
196,34017000902
197,34017001000
198,34017001100
199,34017001202
200,34017001300
201,34017001400
202,34017001700
203,34017001701
204,34017001800
205,34017001900
206,34017002000
207,34017002100
208,34017002700
209,34017002800
210,34017002900
211,34017003000
212,34017003100
213,34017003300
214,34017004000
215,34017004101
216,34017004102
217,34017004200
218,34017004300
219,34017004400
220,34017004500
221,34017004600
222,34017004700
223,34017004800
224,34017004900
225,34017005000
226,34017005100
227,34017005200
228,34017005300
229,34017005500
230,34017005600
231,34017005801
232,34017005900
233,34017006000
234,34017006100
235,34017006200
236,34017006300
237,34017006700
238,34017006800
239,34017007100
240,34017007800
241,34017010100
242,34017010200
243,34017010300
244,34017010600
245,34017010700
246,34017010800
247,34017010900
248,34017011000
249,34017011100
250,34017011200
251,34017011300
252,34017011500
253,34017011600
254,34017012300
255,34017012600
256,34017012800
257,34017012900
258,34017013000
259,34017013100
260,34017013200
261,34017013300
262,34017013400
263,34017013500
264,34017013600
265,34017013700
266,34017013800
267,34017014000
268,34017014102
269,34017014200
270,34017014500
271,34017014501
272,34017014502
273,34017014600
274,34017014700
275,34017014800
276,34017014900
277,34017015000
278,34017015002
279,34017015100
280,34017015200
281,34017015202
282,34017015300
283,34017015500
284,34017015600
285,34017015700
286,34017015802
287,34017015900
288,34017016000
289,34017016100
290,34017016200
291,34017016300
292,34017016400
293,34017016500
294,34017016600
295,34017016700
296,34017016800
297,34017016900
298,34017017000
299,34017017100
300,34017017200
301,34017017300
302,34017017400
303,34017017500
304,34017017600
305,34017017700
306,34017017800
307,34017018000
308,34017032400
309,34019011400
310,34023000200
311,34023001200
312,34023001804
313,34023001806
314,34023002902
315,34023003204
316,34023003300
317,34023003500
318,34023003600
319,34023003800
320,34023004000
321,34023004200
322,34023004300
323,34023004400
324,34023004500
325,34023004600
326,34023004700
327,34023004800
328,34023004900
329,34023005000
330,34023005100
331,34023005200
332,34023005300
333,34023005500
334,34023005600
335,34023005601
336,34023005602
337,34023005700
338,34023005800
339,34023005900
340,34023006000
341,34023006002
342,34023006101
343,34023006207
344,34023006800
345,34023006900
346,34023007103
347,34023007600
348,34023007801
349,34023007906
350,34023007908
351,34023007910
352,34023008101
353,34023008204
354,34023008205
355,34023008206
356,34023008207
357,34023008300
358,34023008900
359,34023009000
360,34025800100
361,34025801600
362,34025801700
363,34025801900
364,34025802000
365,34025802600
366,34025803400
367,34025804400
368,34025804800
369,34025805001
370,34025805002
371,34025805400
372,34025805500
373,34025805600
374,34025805700
375,34025805800
376,34025805900
377,34025806000
378,34025806501
379,34025806502
380,34025807003
381,34025807004
382,34025807100
383,34025807200
384,34025807300
385,34025807400
386,34025807500
387,34025807600
388,34025807700
389,34025808100
390,34025810002
391,34025810700
392,34025810800
393,34025810900
394,34025811000
395,34025811101
396,34025811600
397,34027043500
398,34027044800
399,34027045000
400,34027045602
401,34027046000
402,34029713203
403,34029713300
404,34029713402
405,34029713900
406,34029714100
407,34029715000
408,34029715200
409,34029715301
410,34029715500
411,34029715600
412,34029715700
413,34029715800
414,34029715900
415,34029715901
416,34029715902
417,34029716000
418,34029720000
419,34029720001
420,34029720101
421,34029720102
422,34029720103
423,34029720201
424,34029720202
425,34029720203
426,34029720205
427,34029720206
428,34029721000
429,34029722002
430,34029722200
431,34029722800
432,34029722900
433,34029723500
434,34029729000
435,34029731201
436,34029731202
437,34029731203
438,34029731204
439,34029731205
440,34029731206
441,34029732002
442,34029734001
443,34029735101
444,34029736101
445,34029736102
446,34029736103
447,34029736105
448,34029737000
449,34029739100
450,34031124323
451,34031124500
452,34031124601
453,34031124602
454,34031124700
455,34031124800
456,34031124900
457,34031125000
458,34031125100
459,34031133701
460,34031133702
461,34031175200
462,34031175300
463,34031175301
464,34031175302
465,34031175400
466,34031175401
467,34031175402
468,34031175500
469,34031175600
470,34031175602
471,34031175700
472,34031175701
473,34031175703
474,34031175704
475,34031175800
476,34031175801
477,34031175802
478,34031175900
479,34031180200
480,34031180201
481,34031180202
482,34031180300
483,34031180500
484,34031180600
485,34031180700
486,34031180800
487,34031180900
488,34031181000
489,34031181100
490,34031181200
491,34031181300
492,34031181400
493,34031181500
494,34031181702
495,34031181800
496,34031181900
497,34031182000
498,34031182100
499,34031182200
500,34031182300
501,34031182301
502,34031182302
503,34031182400
504,34031182500
505,34031182600
506,34031182700
507,34031182800
508,34031182900
509,34031183000
510,34031183100
511,34031183101
512,34031183102
513,34031183200
514,34031203600
515,34031223801
516,34031223900
517,34031264200
518,34035050100
519,34035050400
520,34035050500
521,34035051100
522,34035051200
523,34035051500
524,34035051600
525,34035051700
526,34035051800
527,34035052002
528,34035053300
529,34037371000
530,34037371200
531,34037371600
532,34037372800
533,34037372900
534,34037373700
535,34037373800
536,34039030200
537,34039030300
538,34039030400
539,34039030500
540,34039030600
541,34039030700
542,34039030701
543,34039030702
544,34039030801
545,34039030802
546,34039030900
547,34039031000
548,34039031100
549,34039031200
550,34039031300
551,34039031400
552,34039031500
553,34039031600
554,34039031601
555,34039031602
556,34039031700
557,34039031800
558,34039031801
559,34039031802
560,34039031903
561,34039031904
562,34039032001
563,34039032002
564,34039032300
565,34039032400
566,34039032800
567,34039032901
568,34039033800
569,34039033900
570,34039034000
571,34039034100
572,34039034200
573,34039034300
574,34039034400
575,34039034500
576,34039034600
577,34039034700
578,34039035100
579,34039035200
580,34039035300
581,34039035400
582,34039035500
583,34039035800
584,34039035900
585,34039036000
586,34039036100
587,34039038800
588,34039038900
589,34039039000
590,34039039200
591,34039039300
592,34039039400
593,34039039500
594,34039039600
595,34039039800
596,34039039900
597,36005000100
598,36005001600
599,36005001700
600,36005001900
601,36005002000
602,36005002300
603,36005002500
604,36005002701
605,36005002702
606,36005002800
607,36005003100
608,36005003300
609,36005003500
610,36005003600
611,36005003800
612,36005003900
613,36005004001
614,36005004100
615,36005004200
616,36005004600
617,36005004800
618,36005005000
619,36005005001
620,36005005002
621,36005005100
622,36005005200
623,36005005300
624,36005005700
625,36005005901
626,36005005902
627,36005006000
628,36005006100
629,36005006200
630,36005006300
631,36005006500
632,36005006700
633,36005006900
634,36005007100
635,36005007200
636,36005007300
637,36005007400
638,36005007500
639,36005007700
640,36005007900
641,36005008300
642,36005008500
643,36005008600
644,36005008700
645,36005008800
646,36005008900
647,36005009000
648,36005009300
649,36005009400
650,36005009800
651,36005011502
652,36005011700
653,36005011900
654,36005012102
655,36005012300
656,36005012500
657,36005012701
658,36005012702
659,36005012901
660,36005013100
661,36005013300
662,36005013500
663,36005013700
664,36005013900
665,36005014100
666,36005014300
667,36005014500
668,36005014701
669,36005014702
670,36005014900
671,36005015100
672,36005015300
673,36005015500
674,36005015700
675,36005015900
676,36005016100
677,36005016500
678,36005016700
679,36005016900
680,36005017300
681,36005017500
682,36005017700
683,36005017701
684,36005017702
685,36005017901
686,36005017902
687,36005018102
688,36005018300
689,36005018301
690,36005018302
691,36005018500
692,36005018900
693,36005019300
694,36005019500
695,36005019700
696,36005019900
697,36005020000
698,36005020100
699,36005020501
700,36005020602
701,36005020800
702,36005020900
703,36005021000
704,36005021001
705,36005021002
706,36005021100
707,36005021200
708,36005021301
709,36005021302
710,36005021501
711,36005021502
712,36005021601
713,36005021602
714,36005021700
715,36005021701
716,36005021800
717,36005021900
718,36005022000
719,36005022100
720,36005022101
721,36005022102
722,36005022200
723,36005022300
724,36005022401
725,36005022402
726,36005022403
727,36005022404
728,36005022500
729,36005022701
730,36005022702
731,36005022703
732,36005022800
733,36005022901
734,36005022902
735,36005023000
736,36005023100
737,36005023301
738,36005023302
739,36005023501
740,36005023502
741,36005023701
742,36005023702
743,36005023703
744,36005023704
745,36005023900
746,36005024100
747,36005024300
748,36005024501
749,36005024502
750,36005024700
751,36005025300
752,36005025500
753,36005025700
754,36005026300
755,36005026500
756,36005026601
757,36005026602
758,36005026701
759,36005026702
760,36005026900
761,36005027300
762,36005027700
763,36005027900
764,36005028100
765,36005028300
766,36005028400
767,36005028500
768,36005028900
769,36005030200
770,36005031900
771,36005032400
772,36005033000
773,36005033200
774,36005033201
775,36005033202
776,36005033400
777,36005033600
778,36005033800
779,36005034400
780,36005034500
781,36005034800
782,36005035900
783,36005036100
784,36005036300
785,36005036501
786,36005036502
787,36005036901
788,36005036902
789,36005037100
790,36005037200
791,36005037300
792,36005037400
793,36005037503
794,36005037504
795,36005037600
796,36005037700
797,36005037800
798,36005037900
799,36005038000
800,36005038100
801,36005038200
802,36005038301
803,36005038302
804,36005038500
805,36005038700
806,36005038800
807,36005039100
808,36005039200
809,36005039300
810,36005039400
811,36005039500
812,36005039600
813,36005039700
814,36005039901
815,36005039902
816,36005040100
817,36005040301
818,36005040302
819,36005040303
820,36005040304
821,36005040500
822,36005040501
823,36005040502
824,36005040701
825,36005040702
826,36005040800
827,36005040900
828,36005041100
829,36005041300
830,36005041500
831,36005041900
832,36005042000
833,36005042100
834,36005042200
835,36005042400
836,36005042500
837,36005042901
838,36005042902
839,36005043000
840,36005043100
841,36005043600
842,36005044000
843,36005044200
844,36005044901
845,36005044902
846,36005045101
847,36005045800
848,36005046000
849,36005046201
850,36005046202
851,36027010000
852,36027040001
853,36027040003
854,36027060400
855,36027070102
856,36027070200
857,36027070201
858,36027070400
859,36027100000
860,36027110005
861,36027120000
862,36027140101
863,36027140300
864,36027140500
865,36027150003
866,36027150006
867,36027160001
868,36027160005
869,36027210101
870,36027210200
871,36027210201
872,36027220100
873,36027220200
874,36027220201
875,36027220300
876,36027220400
877,36027220500
878,36027220600
879,36027220700
880,36027220801
881,36027220900
882,36027220901
883,36027221100
884,36027300000
885,36027410000
886,36027610000
887,36027640001
888,36027640002
889,36047001800
890,36047002200
891,36047002300
892,36047002500
893,36047002901
894,36047002902
895,36047003600
896,36047005601
897,36047005602
898,36047007000
899,36047007100
900,36047007200
901,36047008500
902,36047008800
903,36047009000
904,36047009200
905,36047011200
906,36047012802
907,36047016400
908,36047019300
909,36047019500
910,36047021300
911,36047021700
912,36047025500
913,36047025901
914,36047025902
915,36047027102
916,36047028300
917,36047028502
918,36047028700
919,36047028900
920,36047030800
921,36047030900
922,36047031400
923,36047032500
924,36047032600
925,36047032800
926,36047033000
927,36047034000
928,36047034200
929,36047034700
930,36047034802
931,36047034900
932,36047035000
933,36047035200
934,36047035400
935,36047035600
936,36047035601
937,36047035602
938,36047035700
939,36047035900
940,36047036001
941,36047036002
942,36047036100
943,36047036502
944,36047036600
945,36047036700
946,36047037402
947,36047038900
948,36047039100
949,36047039500
950,36047041401
951,36047041402
952,36047042500
953,36047042700
954,36047042900
955,36047043100
956,36047044100
957,36047044700
958,36047044800
959,36047045300
960,36047045800
961,36047046001
962,36047046201
963,36047048200
964,36047048800
965,36047048900
966,36047049000
967,36047049100
968,36047049300
969,36047049400
970,36047050000
971,36047050700
972,36047050801
973,36047050804
974,36047051001
975,36047051100
976,36047051200
977,36047051400
978,36047051601
979,36047051602
980,36047051800
981,36047052300
982,36047052500
983,36047052600
984,36047052700
985,36047054500
986,36047054700
987,36047055200
988,36047057000
989,36047057200
990,36047057900
991,36047058400
992,36047058800
993,36047059600
994,36047060600
995,36047060800
996,36047061004
997,36047062200
998,36047062600
999,36047063200
1000,36047068000
1001,36047068600
1002,36047072800
1003,36047077000
1004,36047077600
1005,36047078600
1006,36047079400
1007,36047079600
1008,36047079601
1009,36047079602
1010,36047079802
1011,36047080800
1012,36047081800
1013,36047082000
1014,36047082600
1015,36047082800
1016,36047083000
1017,36047085600
1018,36047086000
1019,36047086200
1020,36047086800
1021,36047087000
1022,36047087401
1023,36047087600
1024,36047088000
1025,36047089200
1026,36047089400
1027,36047089800
1028,36047090000
1029,36047090200
1030,36047090600
1031,36047090800
1032,36047091000
1033,36047091200
1034,36047091400
1035,36047091800
1036,36047092000
1037,36047092200
1038,36047092400
1039,36047094402
1040,36047098200
1041,36047102200
1042,36047103400
1043,36047105800
1044,36047105801
1045,36047105804
1046,36047107000
1047,36047107800
1048,36047109800
1049,36047110000
1050,36047110600
1051,36047111000
1052,36047111600
1053,36047112000
1054,36047112200
1055,36047112800
1056,36047113000
1057,36047113200
1058,36047113400
1059,36047114000
1060,36047114202
1061,36047115000
1062,36047115200
1063,36047115400
1064,36047115600
1065,36047115800
1066,36047116000
1067,36047116200
1068,36047116400
1069,36047117000
1070,36047117601
1071,36047117800
1072,36047118202
1073,36047119000
1074,36047119400
1075,36047120000
1076,36047121000
1077,36047121400
1078,36059300700
1079,36059304204
1080,36059404902
1081,36059406700
1082,36059406701
1083,36059406702
1084,36059406800
1085,36059406801
1086,36059406802
1087,36059406900
1088,36059407000
1089,36059407101
1090,36059407201
1091,36059407401
1092,36059407802
1093,36059411100
1094,36059412400
1095,36059413900
1096,36059414201
1097,36059414202
1098,36059414301
1099,36059414304
1100,36059414400
1101,36059416202
1102,36059980100
1103,36059981100
1104,36059982100
1105,36061000201
1106,36061000600
1107,36061001002
1108,36061001402
1109,36061001600
1110,36061002000
1111,36061002201
1112,36061002400
1113,36061002500
1114,36061002800
1115,36061002900
1116,36061003601
1117,36061009300
1118,36061009700
1119,36061010100
1120,36061011900
1121,36061013500
1122,36061015100
1123,36061016200
1124,36061016400
1125,36061016600
1126,36061017000
1127,36061017402
1128,36061018000
1129,36061018200
1130,36061018400
1131,36061018600
1132,36061018800
1133,36061019200
1134,36061019400
1135,36061019600
1136,36061019701
1137,36061019800
1138,36061020600
1139,36061020701
1140,36061020901
1141,36061020902
1142,36061021000
1143,36061021200
1144,36061021301
1145,36061021303
1146,36061021400
1147,36061021500
1148,36061021800
1149,36061021900
1150,36061022000
1151,36061022301
1152,36061022302
1153,36061022400
1154,36061022500
1155,36061022900
1156,36061023200
1157,36061023300
1158,36061023400
1159,36061023501
1160,36061023502
1161,36061023600
1162,36061023700
1163,36061023900
1164,36061024000
1165,36061024100
1166,36061024200
1167,36061024301
1168,36061024302
1169,36061024500
1170,36061024900
1171,36061025100
1172,36061025300
1173,36061026100
1174,36061026300
1175,36061026500
1176,36061026700
1177,36061026900
1178,36061027700
1179,36061027900
1180,36061028300
1181,36061028500
1182,36061028700
1183,36061028900
1184,36061029100
1185,36061029300
1186,36061029500
1187,36061029900
1188,36061030300
1189,36061030900
1190,36071000100
1191,36071000200
1192,36071000300
1193,36071000400
1194,36071000500
1195,36071000501
1196,36071000502
1197,36071000600
1198,36071001100
1199,36071001200
1200,36071001400
1201,36071001500
1202,36071001600
1203,36071001700
1204,36071002100
1205,36071002200
1206,36071002300
1207,36071010700
1208,36071010801
1209,36071010901
1210,36071011300
1211,36071011600
1212,36071011601
1213,36071011602
1214,36071012100
1215,36071012600
1216,36071012602
1217,36071012700
1218,36071013700
1219,36071015001
1220,36071015002
1221,36071015003
1222,36071015004
1223,36071015005
1224,36071015006
1225,36071015100
1226,36081000600
1227,36081001600
1228,36081002500
1229,36081004001
1230,36081004300
1231,36081005500
1232,36081006200
1233,36081006201
1234,36081006202
1235,36081007500
1236,36081008700
1237,36081012601
1238,36081013400
1239,36081013600
1240,36081013800
1241,36081015700
1242,36081015801
1243,36081016900
1244,36081018000
1245,36081018100
1246,36081018101
1247,36081018102
1248,36081018200
1249,36081018401
1250,36081018402
1251,36081018500
1252,36081018501
1253,36081018502
1254,36081018600
1255,36081019000
1256,36081019200
1257,36081019900
1258,36081020200
1259,36081021400
1260,36081022001
1261,36081022002
1262,36081024000
1263,36081024500
1264,36081024800
1265,36081025100
1266,36081025200
1267,36081025300
1268,36081025301
1269,36081025302
1270,36081025400
1271,36081025500
1272,36081025800
1273,36081025900
1274,36081026000
1275,36081026200
1276,36081026300
1277,36081026400
1278,36081026600
1279,36081026700
1280,36081026900
1281,36081026901
1282,36081026902
1283,36081027000
1284,36081027100
1285,36081027200
1286,36081027300
1287,36081027400
1288,36081027500
1289,36081027700
1290,36081027800
1291,36081027900
1292,36081028100
1293,36081028200
1294,36081028300
1295,36081028700
1296,36081028900
1297,36081029100
1298,36081033402
1299,36081033900
1300,36081035100
1301,36081036300
1302,36081036600
1303,36081038100
1304,36081038300
1305,36081040400
1306,36081040900
1307,36081041000
1308,36081041400
1309,36081042600
1310,36081043400
1311,36081043700
1312,36081043702
1313,36081044000
1314,36081044301
1315,36081044601
1316,36081044602
1317,36081045200
1318,36081045400
1319,36081045500
1320,36081046000
1321,36081046200
1322,36081046600
1323,36081046700
1324,36081046900
1325,36081047300
1326,36081047800
1327,36081048100
1328,36081048500
1329,36081054700
1330,36081054900
1331,36081055900
1332,36081061800
1333,36081064101
1334,36081068300
1335,36081069300
1336,36081069701
1337,36081071100
1338,36081071303
1339,36081071304
1340,36081071306
1341,36081071700
1342,36081071701
1343,36081071702
1344,36081072100
1345,36081074300
1346,36081074700
1347,36081077903
1348,36081077904
1349,36081077906
1350,36081077908
1351,36081079700
1352,36081079701
1353,36081079702
1354,36081080900
1355,36081081400
1356,36081085300
1357,36081085500
1358,36081085700
1359,36081085900
1360,36081086100
1361,36081086300
1362,36081086500
1363,36081086700
1364,36081086900
1365,36081087100
1366,36081088901
1367,36081093800
1368,36081094202
1369,36081094203
1370,36081095400
1371,36081096400
1372,36081097201
1373,36081097202
1374,36081097203
1375,36081097204
1376,36081099200
1377,36081099802
1378,36081103201
1379,36081116100
1380,36081116300
1381,36081122702
1382,36081129103
1383,36085000300
1384,36085000600
1385,36085000700
1386,36085001100
1387,36085001800
1388,36085002100
1389,36085002700
1390,36085002900
1391,36085003900
1392,36085004000
1393,36085007500
1394,36085007700
1395,36085008100
1396,36085010500
1397,36085011401
1398,36085013301
1399,36085013302
1400,36085014100
1401,36085020700
1402,36085021300
1403,36085021900
1404,36085022300
1405,36085023100
1406,36085023900
1407,36085024700
1408,36085027702
1409,36085031901
1410,36085031902
1411,36085032300
1412,36087010602
1413,36087010702
1414,36087010703
1415,36087011301
1416,36087011505
1417,36087012102
1418,36087012106
1419,36087012202
1420,36087012203
1421,36087012204
1422,36087012300
1423,36087012400
1424,36087012401
1425,36087012402
1426,36103111002
1427,36103111100
1428,36103122406
1429,36103122501
1430,36103122801
1431,36103123301
1432,36103123302
1433,36103123701
1434,36103145603
1435,36103145703
1436,36103146101
1437,36103146105
1438,36103146201
1439,36103146203
1440,36103146300
1441,36103146403
1442,36103146607
1443,36103147200
1444,36103147300
1445,36103158406
1446,36103158409
1447,36103158410
1448,36103158502
1449,36103158704
1450,36103158705
1451,36103158708
1452,36103158900
1453,36103159102
1454,36103159103
1455,36103159404
1456,36103159509
1457,36103169704
1458,36103169800
1459,36103169901
1460,36103190401
1461,36119000101
1462,36119000103
1463,36119000201
1464,36119000202
1465,36119000203
1466,36119000300
1467,36119000401
1468,36119000402
1469,36119000500
1470,36119000600
1471,36119000702
1472,36119000802
1473,36119001000
1474,36119001101
1475,36119001102
1476,36119001302
1477,36119001303
1478,36119001505
1479,36119002106
1480,36119002203
1481,36119002700
1482,36119002800
1483,36119002900
1484,36119003000
1485,36119003100
1486,36119003200
1487,36119003400
1488,36119003500
1489,36119003600
1490,36119003800
1491,36119004000
1492,36119004200
1493,36119005702
1494,36119005901
1495,36119007900
1496,36119008000
1497,36119008100
1498,36119009300
1499,36119009500
1500,36119012900
1501,36119013301
1502,36119014100
1503,36119014200
1504,36119014300
1505,36119014400
1506,36119014605
1507,36119014810
1508,36119981000
1509,36119982000
1510,36119983000
1511,36119985000
1512,42103950100
1513,42103950102
1514,42103950103
1515,42103950104
1516,42103950200
1517,42103950201
1518,42103950202
1519,42103950301
1520,42103950302
1521,42103950500
1522,42103950501
1523,42103950502
1524,42103950603
1525,42103950700
1526,42103950702
1527,42103950801
1528,42103950802
1529,42103950900
